Service_Quality,Ticket_Resolution_Speed,Website_Ease_of_Use,Mobile_App_Experience,Escalation_Handling,Value_Adds,Customer_Support_Responsiveness,Transparency_in_Policy,Trust_in_Company,Technical_Issue_Frequency,Would_Recommend,Use_Again,Overall_IT_Support,CSI_Index,Customer_Feedback,Sentiment_Score,CSI_Score
excellent,excellent,good,good,poor,good,good,excellent,,,yes,yes,,high,,-0.012006773999999998,100.0
,,excellent,average,very poor,average,very poor,average,no,Never,yes,no,Bad,medium,Do nature manage about everyone financial wife million myself nor.,-0.099172877,79.20337857300001
good,very poor,average,average,excellent,very poor,poor,very poor,no,Never,yes,yes,Very Good,medium,,-0.7520184599999999,82.30530771900001
excellent,,,poor,average,very poor,good,,no,Never,no,yes,Bad,low,,0.794655785,52.328991555
very poor,very poor,average,excellent,very poor,average,excellent,good,,Never,yes,,Very Good,low,,-0.031337540000000025,58.587022692
average,excellent,poor,poor,excellent,average,average,very poor,,Always,no,,Good,low,Two expect could because theory network exactly garden speak from fish.,-0.931429633,54.323274474
excellent,very poor,good,poor,very poor,excellent,good,,yes,Never,,,Very Good,low,,0.39672603999999995,50.0
excellent,good,excellent,poor,,average,very poor,,yes,Sometimes,yes,yes,,medium,Tonight player hotel sit thought soon black value impact poor soldier leg for.,0.556727335,87.89928273
average,poor,good,average,very poor,good,average,average,no,,yes,,,medium,,-0.5206103310000001,84.217475277
average,,average,poor,excellent,,very poor,good,no,Always,,,Very Good,low,,-1.0,50.0
poor,average,average,,poor,excellent,average,,no,Sometimes,no,,,medium,Likely find charge director race rule final both resource our fall station east man.,-0.6127591050000001,80.91399757500001
poor,poor,very poor,very poor,poor,poor,good,good,no,Sometimes,yes,,Bad,low,,-0.520205154,65.72912121
poor,poor,good,excellent,poor,average,good,excellent,no,Sometimes,,yes,Very Good,low,Yes wrong movie degree nor per particular home thousand water become style.,-0.454393273,67.87402452900001
good,poor,,good,very poor,average,,,,Always,,no,Bad,medium,,-0.04362049000000001,85.78998555300001
poor,,average,very poor,very poor,poor,good,excellent,yes,Often,no,,Neutral,low,,0.36525676199999996,56.441569338
excellent,very poor,good,average,very poor,average,good,average,yes,Always,no,no,Neutral,low,,0.413793986,51.170720454000005
excellent,average,,very poor,,excellent,poor,poor,yes,Sometimes,yes,no,Good,medium,Compare kind magazine onto break rather right million yes move dog age employee home.,-0.377497835,72.253901205
,average,,average,good,,average,good,no,,,no,Very Bad,high,,-0.888403339,93.14924262
good,good,poor,very poor,average,poor,good,very poor,yes,Never,,yes,Bad,low,,0.07102412799999996,67.292649171
average,very poor,poor,poor,good,very poor,average,average,no,Always,yes,,Good,medium,Trade possible throw crime explain like stand most difficult wonder.,0.15447488799999998,89.52741963
poor,very poor,average,average,poor,very poor,good,poor,,Often,,yes,Very Good,low,,-0.6839663069999999,53.908479135
excellent,,average,average,very poor,good,average,average,no,Never,no,,Good,low,,-0.953550862,55.3156643
good,very poor,poor,average,good,poor,,average,,,yes,no,Very Bad,medium,Performance huge fear evening task research type store general western.,0.7981922539999999,86.638576302
,excellent,average,very poor,good,very poor,good,excellent,,,,yes,Very Good,high,Southern serve maybe people dog reason series billion staff finally poor effort.,-0.334784125,93.70733412
excellent,good,good,,average,excellent,very poor,good,,Often,no,yes,Very Good,high,,-0.32412127500000004,99.200737856
very poor,very poor,very poor,good,excellent,,poor,,no,,,yes,Very Good,low,,0.226807449,59.192194410000006
excellent,,very poor,excellent,very poor,very poor,good,poor,,Sometimes,yes,no,Very Good,low,,0.493833613,65.26785909600001
excellent,excellent,poor,very poor,very poor,good,very poor,very poor,yes,Never,no,no,Very Good,medium,,-1.0,85.311528111
very poor,good,poor,very poor,good,excellent,average,,no,,yes,yes,Bad,low,Or beyond eat write physical condition across moment military nation answer organization.,-0.49009605100000003,65.193099336
very poor,average,average,very poor,good,average,good,average,yes,,,no,Good,medium,House after deal five purpose more war fly perform everyone.,-0.689106721,88.448045112
,poor,very poor,average,good,,good,average,no,Always,no,yes,Very Bad,medium,,0.43483715799999995,87.584126301
poor,good,poor,poor,excellent,excellent,,,yes,Always,no,,Very Bad,medium,,-1.0,75.058884306
average,,excellent,average,,average,average,excellent,no,Often,yes,no,Bad,low,,0.17836016300000002,64.097114719
,very poor,,average,,excellent,poor,average,no,Often,yes,yes,Very Good,medium,,-1.0,81.948850578
poor,very poor,,good,excellent,good,poor,very poor,no,Always,yes,no,Good,medium,,-1.0,85.635511425
,average,very poor,excellent,,poor,very poor,excellent,,Often,yes,no,Very Good,low,,0.311174628,69.100335261
average,,poor,excellent,,very poor,poor,excellent,no,,yes,yes,Very Good,medium,,0.45814830999999995,81.453918411
good,excellent,very poor,very poor,excellent,good,average,,no,Often,,yes,,high,,-0.572483301,99.91034771
,good,poor,,,poor,average,very poor,,Sometimes,,yes,Very Bad,low,,0.6606318,65.336948874
,poor,excellent,poor,,,,good,,Often,yes,yes,Very Bad,low,,0.17269762,64.275402177
,average,poor,good,,very poor,poor,very poor,no,Often,,,Good,low,,0.10518691299999999,53.426444895
,excellent,poor,excellent,good,average,good,good,no,,no,yes,Very Bad,low,,0.48803279,69.847190556
good,excellent,excellent,good,very poor,good,very poor,,,Sometimes,no,no,Very Good,medium,,-0.704403912,85.95811139
good,very poor,,,,,,good,no,,no,yes,Bad,low,Your behavior realize by gun week daughter live continue play cell though dinner.,0.186987815,55.335369681
very poor,,average,average,average,,good,very poor,no,Always,,yes,Very Bad,medium,,-0.420716773,88.297349382
,poor,very poor,,,excellent,poor,,,Always,yes,,Very Bad,low,,-0.08615597000000001,52.803401967
poor,excellent,good,very poor,good,average,excellent,average,yes,Never,yes,no,Good,medium,,-0.866733389,79.56243889
,excellent,poor,,good,,average,poor,,Never,yes,no,Bad,medium,Its think age community model behind if situation son nature.,-0.927269297,76.46255966700001
average,very poor,poor,,very poor,average,excellent,,yes,Always,no,no,,low,Wait bill heart recently cover administration see wind.,-0.04372887,63.5120874
good,good,,excellent,average,very poor,excellent,average,,Never,no,yes,Very Good,medium,,-0.249310559,87.19459287000001
poor,,poor,good,very poor,,,excellent,no,Always,no,,Good,medium,,0.49287978800000004,77.16213036
poor,very poor,good,excellent,very poor,good,good,average,no,Often,,yes,Neutral,low,,0.39005793699999997,50.0
good,excellent,very poor,good,poor,average,very poor,average,,,,yes,Very Good,medium,Let only despite fish try score stand according family.,-0.351391912,83.49564141
,poor,poor,poor,poor,average,good,average,no,Sometimes,,,,low,,0.174031726,68.610289554
excellent,good,good,,very poor,average,average,average,no,Sometimes,no,yes,Good,high,,0.726377846,95.89872269
good,average,very poor,excellent,,excellent,very poor,average,yes,Always,yes,yes,,high,Above key Mrs foreign turn wish crime buy nearly return letter the.,-0.037608497,98.01693293
excellent,excellent,good,average,very poor,excellent,,very poor,,Always,no,yes,Good,medium,,0.8113431449999999,74.338634414
poor,poor,average,average,,average,excellent,excellent,no,Sometimes,,yes,Good,low,,0.628336192,57.06912369
average,good,average,excellent,,poor,excellent,poor,no,Sometimes,no,no,,low,Situation recent indicate set mission notice war read region situation wait mention knowledge.,-0.136504167,66.79886677
good,good,good,good,poor,good,very poor,poor,yes,Often,yes,yes,Very Bad,medium,,-0.209590983,89.529094368
poor,good,good,,poor,excellent,,average,yes,Never,yes,,Good,low,,-0.8508960670000001,61.181610389999996
average,poor,very poor,,good,poor,good,excellent,no,Never,no,yes,Bad,medium,One according star within center direction source imagine life like.,0.26022567599999996,89.627770935
very poor,,excellent,excellent,good,average,excellent,good,no,,no,,Bad,low,,0.9523343989999999,59.070989076000004
very poor,poor,average,excellent,average,average,average,average,no,Always,yes,yes,Very Bad,low,,-0.41235792000000004,51.52903722
average,poor,average,very poor,,very poor,,very poor,no,Never,no,,,medium,Lead cut heavy fund about fast.,0.480966763,80.07287418
excellent,very poor,average,average,,,good,average,,Never,yes,no,,high,,-0.999980295,98.56264138
good,very poor,,very poor,excellent,good,excellent,poor,,,no,,Very Good,medium,,-0.024193779,89.080112799
excellent,very poor,average,excellent,average,poor,good,excellent,no,Never,yes,,Neutral,high,,0.269906362,100.0
good,good,,excellent,good,,excellent,good,,Sometimes,no,yes,,low,,0.873417315,59.400497035
average,poor,very poor,excellent,average,poor,,poor,yes,Never,no,,Bad,medium,City experience result edge leg responsibility thousand challenge but current community.,-1.0,71.65382697
very poor,good,very poor,,,poor,good,,yes,Always,no,,Very Good,low,,0.047635714999999995,50.441303952000005
,,excellent,average,poor,poor,,average,no,,no,,Very Bad,low,,0.085550228,61.944614838
,,average,,good,good,poor,average,,Never,no,no,Very Good,low,As huge executive space successful set person need once building tonight eat.,-0.305014973,56.639475827999995
